uniquedocs_df.Title,uniquedocs_df.Abstract,uniquedocs_df.Authors,uniquedocs_df.placeOfPublication,uniquedocs_df.pubdate,uniquedocs_df.pubtitle,uniquedocs_df.year
Is Chicago Behind New York?,"The Negroes of Chicago have been dealt one of the most powerful body blows in the history of the American Negro when it was charged by Rev. Powell of New York that we here in Chicago are complacent about the way things are, and that the racial prejudice..."," Wilkins, Jasper
Jasper
Jasper Wilkins
Wilkins
Jasper Wilkins"," Chicago, Ill.",18-Sep-43,The Chicago Defender (National edition) (1921-1967),1943
"BOWLES REINSTATES RENT HIKE, REVERSES CHICAGO OPA RULING","Sixty-five famllies in the nine story Country Club apartment hotel 6930 South Shore drive, will have to pay a total of $400 more in monthly rent, retroactive to Nov. 25, Chester Bowles, director of the office of price administration, said yesterday in an order issued in..."," Chase, Al
Al
Al Chase
Chase
AL CHASE"," Chicago, Ill.",3-Dec-43,Chicago Daily Tribune (1923-1963),1943
Wants Clean Campaign,"Thousands of white people ride the ""L"" daily and they see those dirty back yards of the Negro community. Do you wonder why we have restricted areas? The South Side is our best, where our best people reside. What can be done to make it more beautiful?"," Mrs. A D Johnson
Mrs. A D Johnson"," Chicago, Ill.",20-May-44,The Chicago Defender (National edition) (1921-1967),1944
Tenants Lives Endangered By Bad Housing,I have read with interest the articles written by people living in these Chicago fire-traps and wish to allow the public or interested organizations to become familiar with still another of these structures.," Brown, H
H
H Brown
Brown
H Brown"," Chicago, Ill.",10-Feb-45,The Chicago Defender (National edition) (1921-1967),1945
25 Slightly Injured In Norfolk Trolley Crash,"Norfolk, Nov. 17 (AP.) -- Twenty-five persons who suffered cuts and bruises when two street cars collided here today were released after being given first aid treatment at local hospitals.",," Washington, D.C.",18-Nov-45,The Washington Post (1923-1954),1945
Woman Found Beaten to Death,"Norfolk, Va., May 30 (AP). -- Mrs. Carmen Belote Schneer, 35, a divorcee, was beaten to death in her Graydon ave. apartment here early today, and Ernest Ulbaster Doster, 36, died of gas fumes from open jets on a range in the same room, Detective Leon Nowitzky, investigator for the city coroner, reported.",," Washington, D.C.",31-May-46,The Washington Post (1923-1954),1946
POULTRY BUYER FOUND SHOT TO DEATH IN FLAT,,," Chicago, Ill.",8-Jun-46,Chicago Daily Tribune (1923-1963),1946
Lightweight House-Car To Serve on Latin Tour,,," Washington, D.C.",27-Sep-46,The Washington Post (1923-1954),1946
SELLS MAYARD HOTEL,,," Chicago, Ill.",13-Oct-46,Chicago Daily Tribune (1923-1963),1946
Moving Day for Vet,,," Chicago, Ill.",17-Jan-47,Chicago Daily Tribune (1923-1963),1947
Child Ignites Easter Basket; Sister Dies,,," Chicago, Ill.",26-Apr-47,The Chicago Defender (National edition) (1921-1967),1947
Cooking Class Opens at Y. W. C. A. Monday,,," Chicago, Ill.",18-Sep-47,Chicago Daily Tribune (1923-1963),1947
Death Of Five Children in Blaze Stirs Billikens,"THE color line, if any ever existed, has been forgotten at the Washington elementary school and the white students are saddened over the death of five Negro schoolmates, who lost their lives in an early morning fire...",," Chicago, Ill.",18-Oct-47,The Chicago Defender (National edition) (1921-1967),1947
Voice From The Basement,,," Chicago, Ill.",16-Feb-48,Chicago Daily Tribune (1923-1963),1948
Rescue Divorcee In Flat With Gas Burners Open,,," Chicago, Ill.",14-Apr-49,Chicago Daily Tribune (1923-1963),1949
Article 4 -- No Title,,," New York, N.Y.",7-May-50,New York Times (1923-Current file),1950
Improve Neighborhood An' You're A Reformer,"Old Doc Jim Fairbrain the Sage of South State Street, was saying no later than this last weekend to a group of his followers that if you want to be dubbed a reformer, a real snoot of the pig extraction, just mention a few things that should be corrected in your own neighborhood."," Gardner, Hugh
Hugh
Hugh Gardner
Gardner
HUGH GARDNER"," Chicago, Ill.",7-Jul-51,The Chicago Defender (National edition) (1921-1967),1951
COURT ORDERS ARREST OF PAIR FOR 2 EVICTIONS,,," Chicago, Ill.",8-Nov-51,Chicago Daily Tribune (1923-1963),1951
CENTRAL LOAN BUYS AUSTIN ARMS BUILDING,,," Chicago, Ill.",20-Mar-52,Chicago Daily Tribune (1923-1963),1952
KC Destroys Landmark For New Building(2),,," Chicago, Ill.",21-Jun-52,The Chicago Defender (National edition) (1921-1967),1952
A TENANT PROTESTS,," POOR WORKING GIRL
POOR WORKING GIRL"," Chicago, Ill.",22-Sep-52,Chicago Daily Tribune (1923-1963),1952
Knoxville Faculty Building Going Up,,," Chicago, Ill.",21-Mar-53,The Chicago Defender (National edition) (1921-1967),1953
1902 Graduate Lays Cornerstone Of Hampton's New Dormitory,"HAMPTON, Va. -- The cornerstone for Harkness hall, new men's dormitory on Hampton institute campus, was laid April 24 with David H. Terry, Hampton graduate of 1902, laying the conerstone.",," Chicago, Ill.",9-May-53,The Chicago Defender (National edition) (1921-1967),1953
Defender Men Describe 3 More Firetraps,"CHICAGO, Ill. -- Three more buildings were added to Chicago's growing list of slum-traps and fire hazards by the Chicago Defender this week. Two are on the Westside, one on the Southside.",," Chicago, Ill.",3-Oct-53,The Chicago Defender (National edition) (1921-1967),1953
CHICAGO TOT DIES IN 5-STORY FALL,,," Chicago, Ill.",10-Oct-53,The Chicago Defender (National edition) (1921-1967),1953
Aide to Consul Found Dead,,," New York, N.Y.",19-Feb-54,New York Times (1923-Current file),1954
Buy Hotel for Nurses at 9 U. of C. Hospitals,,," Chicago, Ill.",26-Mar-54,Chicago Daily Tribune (1923-1963),1954
HOTEL TO SERVE AS HOME FOR U. OF C. NURSES,,," Chicago, Ill.",2-May-54,Chicago Daily Tribune (1923-1963),1954
Moralists Think Skirts Showing In 'Carmen' And 'House Of Flowers',"NEW YORK -- (ANP) -- The guys who like to warn femmes when their undie skirts are showing have nothing on critics of the film ""Carmen Jones"" or the play ""House of Flowers."" This is an introduction to the story that says moralists are criticising both...",," Chicago, Ill.",15-Jan-55,The Chicago Defender (National edition) (1921-1967),1955
"GENEVA CHURCH BEGINS WORK ON $80,000 ANNEX",,," Chicago, Ill.",23-Jan-55,Chicago Daily Tribune (1923-1963),1955
"Wives Fight Over Mate, One Killed",A large community kitchen proved too small for two Southside women this week. A fight between the two women Sunday ended in death for one.,," Chicago, Ill.",21-May-55,The Chicago Defender (National edition) (1921-1967),1955
Catholic U. Buys Two Buildings,,," Washington, D.C.",26-Aug-55,The Washington Post and Times Herald (1954-1959),1955
Lord Culvert Hotel Set To House Stars,"MIAMI -- The Lord Calvert Hotel. Miami's internationally known year-round luxury hotel is gearing itself for another fabulous winter, determined to hold its recently achieved honor of being named ""Hotel of the Year"" by the Nationwide Hotel Association.",," Chicago, Ill.",10-Dec-55,The Chicago Defender (National edition) (1921-1967),1955
Dedication Of Education Wing Slated,"The new $225,000 educational wing of Westmoreland Congregational Church, Westmoreland Hills, Md., will be dedicated Sunday at 4 p.m.",," Washington, D.C.",18-Feb-56,The Washington Post and Times Herald (1954-1959),1956
BEGIN BUILDING SUBURB CHURCH SCHOOL TODAY,,," Chicago, Ill.",4-Mar-56,Chicago Daily Tribune (1923-1963),1956
Kin Seek News Of Blaze Tenant,,," Chicago, Ill.",11-Apr-56,Daily Defender (Daily Edition) (1956-1960),1956
COMPLETION IS NEAR,,," New York, N.Y.",28-Oct-56,New York Times (1923-Current file),1956
"CRETE CHURCH OPENS DRIVE FOR $150,000",,," Chicago, Ill.",4-Nov-56,Chicago Daily Tribune (1923-1963),1956
Ground Broken for Church Units,,," Los Angeles, Calif.",2-Dec-56,Los Angeles Times (1923-Current File),1956
Youngest Of 3 Burned Tots Dies,,," Chicago, Ill.",4-Dec-56,Daily Defender (Daily Edition) (1956-1960),1956
Youths Admit Beating Actor Beggs to Death,"CHICAGO, Dec. 10 -- Two teen-agers today confessed to the fatal assault on actor Malcolm Lee Beggs, 49, earlier in the day in his North Side apartment, during a robbery.",," Washington, D.C.",11-Dec-56,The Washington Post and Times Herald (1954-1959),1956
Toasting Toaster Costs Nurses Two Nights Out,A burned-out toaster and a code of honor have cost 104 student nurses at Children's Hospital two days and two nights of liberty.,," Washington, D.C.",9-Jan-57,The Washington Post and Times Herald (1954-1959),1957
Do it Yourself--WITH CRAFT PATTERNS,," A NEELY HALL
A NEELY HALL"," Chicago, Ill.",9-Jun-57,Chicago Daily Tribune (1923-1963),1957
Cops Seek Wife In Mate's Death,,," Chicago, Ill.",12-Jun-57,Daily Defender (Daily Edition) (1956-1960),1957
"Put Negroes Out, Orders To Realtor","Charges that Julian Levi, director of the South East Chicago Commission which is headed by Chancellor Kimpton of the University of Chicago, personally ordered a landlord to oust Negroes from his property, were flatly denied by Levi Thursday.",," Chicago, Ill.",20-Jul-57,The Chicago Defender (National edition) (1921-1967),1957
Savings-Loan Firm to Build,,," Los Angeles, Calif.",19-Jan-58,Los Angeles Times (1923-Current File),1958
Killed In Leap Escaping Fire,,," Chicago, Ill.",27-Feb-58,Daily Defender (Daily Edition) (1956-1960),1958
Fireman Given Heroism Medal,"Fireman Emmet Robinson, 29, of 223 E. Marquette Road, a member of Truck Company 11, this week received Chicago's top heroism award for firemen, The Carter S. Harrison Medal.",," Chicago, Ill.",16-Aug-58,The Chicago Defender (National edition) (1921-1967),1958
Open New Southside Housing Project Today,"Tenants will begin moving into Prairie Avenue Court Extension, the Chicago Housing Authority's newest public housing development, today. All of the 203 apartments in the 13 story building at 2822 S. Calumet Ave. have been leased and move - ins will take...",," Chicago, Ill.",18-Aug-58,Daily Defender (Daily Edition) (1956-1960),1958
Bus Hostesses Put on D.C. Run,,," Washington, D.C.",25-Oct-58,The Washington Post and Times Herald (1954-1959),1958
CHURCH RITES OPEN WORK ON NEW BUILDING,,," Chicago, Ill.",26-Oct-58,Chicago Daily Tribune (1923-1963),1958
Rev. Mason May Sue For Slander,"MEMPHIS, Tenn. -- Charges of aiding and abetting prostitution were dismissed against Rev. C. H. Mason, son of Bishop C. H. Mason, senior bishop of the Church of God in Christ, and the clergyman said he is ""seriously considering filing suit for slander and...",," Chicago, Ill.",6-Nov-58,Daily Defender (Daily Edition) (1956-1960),1958
Grace Methodist To Build Sanctuary,"Ground was broken Thursday for the new $375,000 sanctuary, fellowship hall and administration building of Grace Methodist Church, 7001 New Hampshire ave., Takoma Park.",," Washington, D.C.",29-Nov-58,The Washington Post and Times Herald (1954-1959),1958
COURT RULES S. SIDE HOTEL MAY REMODEL,,," Chicago, Ill.",25-Dec-58,Chicago Daily Tribune (1923-1963),1958
Bathroom Row Ends In Slaying,,," Chicago, Ill.",1-Jan-59,Daily Defender (Daily Edition) (1956-1960),1959
Drawing of 1.5 Million Holiday Lodge,,," Chicago, Ill.",2-Jan-59,Chicago Daily Tribune (1923-1963),1959
Do it Yourself... with,,," Chicago, Ill.",22-Mar-59,Chicago Daily Tribune (1923-1963),1959
ALL THAT MONEY CAN BUY,"The cost' of shelter, outside of utilities such as electricity and gas, is reasonably between seventeen and twenty-two dollars per room per month. Rent for an average four-room apartment should be not more than eight eight dollars per month. In older..."," Satter, Mark J
Mark
Mark J Satter
Satter
J
MARK J SATTER"," Chicago, Ill.",1-Apr-59,Daily Defender (Daily Edition) (1956-1960),1959
Open And Shut Case: Use Venetians A Room Divider To Hide Blind Spots,"Yesterday the ""open and shut case"" of Venetian blinds concerned itself with their use as decorating aids for ""window dressing."" That is only half of the story.",," Chicago, Ill.",21-Apr-59,Daily Defender (Daily Edition) (1956-1960),1959
College to Dedicate New Gym,A new gymnasium and a library-classroom building in North Park college will be dedicated at 8:15 p. m. Friday.,," Chicago, Ill.",17-May-59,Chicago Daily Tribune (1923-1963),1959
NORTH PARK TO DEDICATE 2 BUILDINGS,A new gymnasium and a library-classroom building in North Park college will be dedicated at 8:15 p. m. Friday.,," Chicago, Ill.",17-May-59,Chicago Daily Tribune (1923-1963),1959
"Mammoth Opens $100,000 Office","CLEVELAND -- The Mammoth Life &amp; Accident Insurance Company held Open House Sunday at its newly - constructed branch office here. A host of well-wishers, including policyholders and friends, were shown through the modern facilities located at 79th...",," Chicago, Ill.",11-Jul-59,The Chicago Defender (National edition) (1921-1967),1959
Says Noise And Hot Weather A Problem,"The hot summer weather is beginning to make people aware of the fact that there are other distressing aspects to the housing problem, apart from overcrowding and deterioated accommodations."," Gould, Edward D
Edward
Edward D Gould
Gould
D
EDWARD D GOULD"," Chicago, Ill.",20-Jul-59,Daily Defender (Daily Edition) (1956-1960),1959
Ultra-Modern Flick-Reedy Factory to Be Dedicated,The new ultra-modern plant of the Flick-Reedy corporation in Bensenville will be dedicated Sunday and an open house is planned for employes' families and friends.,," Chicago, Ill.",26-Jul-59,Chicago Daily Tribune (1923-1963),1959
When They Goof,," F L B
F L B"," Chicago, Ill.",10-Nov-59,Daily Defender (Daily Edition) (1956-1960),1959
When They Goof,," F L B
F L B"," Chicago, Ill.",21-Nov-59,The Chicago Defender (National edition) (1921-1967),1959
"A Bondsman Rejoices At Return Of $1,000 Client","Mrs. Marie Smith, alias Marie Davis, alias Lavenia Pearson, age 30, is in police custody this week because Gene Geary, a bondsman, wasn't willing to pay $1,000 for her freedom."," Orro, David H
David
David H Orro
Orro
H
DAVID H ORRO"," Chicago, Ill.",20-Jan-40,The Chicago Defender (National edition) (1921-1967),1940
Comfortable Coverall Apron,,," Chicago, Ill.",26-Jan-40,Chicago Daily Tribune (1923-1963),1940
Aprons for Every Wardrobe,,," Chicago, Ill.",1-Feb-40,Chicago Daily Tribune (1923-1963),1940
Home Owners' Queries,,," Chicago, Ill.",4-Feb-40,Chicago Daily Tribune (1923-1963),1940
"BOY, 15, ILL, ENDS LIFE",,," New York, N.Y.",13-Feb-40,New York Times (1923-Current file),1940
Voice of the South Side,The demolition of many buildings on the south side and the failure to replace them have produced a shortage in housing accommodations which has reached an acute stage. Families deprived of homes have been forced to crowd into every available space of the remaining habitable buildings.," Miles, Carolyn D
Carolyn
Carolyn D Miles
Miles
D
CAROLYN D MILES"," Chicago, Ill.",23-Jun-40,Chicago Daily Tribune (1923-1963),1940
Neat House Frock Ensemble,,," Chicago, Ill.",10-Aug-40,Chicago Daily Tribune (1923-1963),1940
Two Pretty Apron Styles,,," Chicago, Ill.",16-Sep-40,Chicago Daily Tribune (1923-1963),1940
ILLINOIS SHARES DEFENSE HOUSING OF 45 MILLIONS,"[Special]--John M. Carmody, Federal Works administrator, today announced plans for the construction of housing facilities at three Illinois military posts as part of a $45,762,500 program for 70 projects providing at least 13,000 dwelling units for the...",," Chicago, Ill.",8-Oct-40,Chicago Daily Tribune (1923-1963),1940
POPE TO STAY IN ROME,,," New York, N.Y.",5-Nov-40,New York Times (1923-Current file),1940
"Mack Acquires Croyden Hotel for $500,000","John J. Mack and associates, owners of the Congress and Chicagoan hotels, yesterday bought the 16 story Croyden hotel at Rush and Ontario streets, for a reported $500,000. The Alack interests bought all of the 15,627 shares of stock of the 616 North Rush corporation, which has owned the..."," Chase, Al
Al
Al Chase
Chase
AL CHASE"," Chicago, Ill.",28-Feb-41,Chicago Daily Tribune (1923-1963),1941
"Santa Claus Loses Bag To Bandits, Reindeer To Prominent Barbecue Man","CHICAGO, Adenoids--(By Long Delay Press Service)-- Local police disclosed this week that Santa Claus had been discovered Christmas Eve night, wandering in a daze about the neighborhood of Firty-sith street and...",," Chicago, Ill.",8-Mar-41,The Chicago Defender (National edition) (1921-1967),1941
Streeterville Apartments to Be Modernized,"One of Streeterville's oldest and most widely known apartment building, the seven story structure at 222 East Delaware place, was sold yesterday by the Continential Illinois National. Bank and Trust company to the Two Twenty Two East Delaware corporation."," Chase, Al
Al
Al Chase
Chase
AL CHASE"," Chicago, Ill.",24-Apr-41,Chicago Daily Tribune (1923-1963),1941
DOG AVERTS GAS SUICIDE,,," New York, N.Y.",5-Jul-41,New York Times (1923-Current file),1941
Pond Cottage to Be Opened Friday at Chicago Farm Camp,,," Chicago, Ill.",10-Jul-41,Chicago Daily Tribune (1923-1963),1941
SHIRT MAN SELLS ESTATE,,," New York, N.Y.",18-Oct-41,New York Times (1923-Current file),1941
A Radio Would Bring Cheer to Needy Old Folk,"There are many elderly people in the city who lead very lonely lives. Existing on limited incomes, they are forced to live in small shabby rooms, generally without much sunshine or fresh air. Physical disabilities keep the majority of them confined to their unattractive quarters, failing..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",19-Dec-41,Chicago Daily Tribune (1923-1963),1941
WOMAN ENDS LIFE BY GAS,,," New York, N.Y.",27-Dec-41,New York Times (1923-Current file),1941
Frocks for Domestic Role,,," Chicago, Ill.",19-Oct-42,Chicago Daily Tribune (1923-1963),1942
[Officers Need One-Room Suites,,," New York, N.Y.",10-Jan-43,New York Times (1923-Current file),1943
News of Kin's Suicide Fatal To Mrs. Daiger,"Mrs. Irene Hubbard Daiger, 75, of 5002 Greenleaf Road, Baltimore, Md., died of shock on Thursday upon learning of the suicide of her granddaughter, Miss Shirley Daiger, 25, of 3900 Cathedral Avenue, Northwest.",," Washington, D.C.",20-Mar-43,The Washington Post (1923-1954),1943
Five Booklets Give Etiquet of Weddings,Spring and summer brides who are concerned about the details of the wedding ceremony and the reception or breakfast to follow will find a handy guide in the wedding etiquet booklets we have prepared.,," Chicago, Ill.",21-Mar-43,Chicago Daily Tribune (1923-1963),1943
GAS KILLS 4 IN SLEEP,,," New York, N.Y.",5-Apr-43,New York Times (1923-Current file),1943
Rationing of Milk Protested,," Railey, Ada
Ada
Ada Railey
Railey
ADA RAILEY"," New York, N.Y.",28-Apr-43,New York Times (1923-Current file),1943
15 SEIZED IN BRAZIL FRAUD,," Special Cable to THE NEW YORK TIMES.
Special Cable to THE NEW YORK TIMES."," New York, N.Y.",1-May-43,New York Times (1923-Current file),1943
Household Forum,"Mrs. Leonard G., Chicago--When I find paper stuck to a polished table top, and it won't come off with case, I molsten the paper with a little olive oil, and the difficulty is remedied."," Bargelt, Louise
Louise
Louise Bargelt
Bargelt
Louise Bargelt"," Chicago, Ill.",10-May-43,Chicago Daily Tribune (1923-1963),1943
Hospital Group Adopts By-Laws,"Two classes of membership were set up in the by-laws accepted yesterday by the Women's Auxiliary to the Suburban Hospital Association at its annual meeting in the Suburban Hospital, Bethesda.",," Washington, D.C.",25-Apr-44,The Washington Post (1923-1954),1944
Hospital Rated For Penicillin At Bethesda,"Suburban Hospital, Bethesda, has been added to the hospitals in the Washington area for allocation of penicillin by the War Production Board, J. Dewey Lutes, superintendent of the hospital, announced yesterday.",," Washington, D.C.",22-Jun-44,The Washington Post (1923-1954),1944
"Counsel Vows To Cite Guilty, Clear Medley",The defense attorneys for Joseph D. Medley promised yesterday not only to prove their client did not kill Mrs. Nancy Boyer but to show who did.,," Washington, D.C.",4-Jun-45,The Washington Post (1923-1954),1945
What The People Say,"I just read an article by Sonia Tomms on Richard Wright's book ""Black Boy."" She stated that we Negroes should stop yelping about how horrible we live."," Laws, Clifton
Clifton
Clifton Laws
Laws
Clifton Laws"," Chicago, Ill.",22-Sep-45,The Chicago Defender (National edition) (1921-1967),1945
Two Rooming House Charges Cost Man $10,"Willis F. Kern, 2632 Woodley pl. nw., new owner of the six-story building at 1115 Ninth st. nw., Wednesday was fined $10 in Municipal Court.",," Washington, D.C.",12-Oct-45,The Washington Post (1923-1954),1945
VOICE OF THE PEOPLE,I am a veteran o0 33 months in that rotten lowland called Now Guinea (crying). I was discharged about four Months ago. [Joyful groan] I came home for the first time in about five years.," VETERAN
VETERAN"," Chicago, Ill.",12-Nov-45,Chicago Daily Tribune (1923-1963),1945
Md. Troopers' Class to Have Mostly Ex-GIs,"Pikesville, Md., Dec. 27 (AP). -- Former servicemen will predominate in the first postwar class of 27 scheduled to attend the State Police School at Pikesville next Thursday.",," Washington, D.C.",28-Dec-45,The Washington Post (1923-1954),1945
WOULD ALTER FHA RULE,"To accelerate construction of rental housing in the New York area, the Long Island Home Builders Institute, Inc., has recommended to Commissioner Raymond M. Foley ...",," New York, N.Y.",23-Jun-46,New York Times (1923-Current file),1946
Widow and Vet Forward Pleas for Furnishings,," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",10-Jan-47,Chicago Daily Tribune (1923-1963),1947
Varied Needs Are Outlined by Sally Today,"We hope a sewing machine and a washing machine can be located for Mrs. J. of the near north side, who was referred to us by a social worker. She is the mother of five youngsters, two of whom are twins. Any kind of machine that sews would be a great aid to her in help-..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",14-Apr-47,Chicago Daily Tribune (1923-1963),1947
Once a Child,"I read an article in the Tribune which rather forced me to speak out. I'm sending a copy just like this one, with a few exceptions to the above paper."," Gear, Evangelist L M
Evangelist
Evangelist L M Gear
Gear
L M
Evangelist L M Gear"," Chicago, Ill.",8-Nov-47,The Chicago Defender (National edition) (1921-1967),1947
2nd Mystery Blaze Guts Hickman Home,"Fire of suspicious origin early Saturday morning gutted an empty three-story tenement at 1732 Washburne ave., where the four children of James Hickman lost their lives in a blaze last Jan. 16.",," Chicago, Ill.",29-Nov-47,The Chicago Defender (National edition) (1921-1967),1947
Bright Sayings of Children,"Larry was not very pleased about the new baby who was coming to his home. He told his mother: ""If it's a kid, I'll wheel the buggy, but if it's a girl, I won't!"""," Mrs L G
Mrs L G"," Chicago, Ill.",22-Feb-48,Chicago Daily Tribune (1923-1963),1948
"GAS FUMES KILL MAN, 74",,," New York, N.Y.",5-Dec-48,New York Times (1923-Current file),1948
Gadgets Do All Work for Housekeeper,,," Washington, D.C.",6-Feb-49,The Washington Post (1923-1954),1949
"Rockefellers Have Guest Problems, Too",,," Los Angeles, Calif.",7-Sep-49,Los Angeles Times (1923-Current File),1949
JUNIOR BUSINESS GROUPS TO HAVE NEW QUARTERS,"West side young people who are members of Junior Achievement of Chicago, Inc., will have a new business center starting Oct. 10. Some 40 miniature companies will operate in the basement of Faith Presbyterian church, Augusta blvd. and Pine av.",," Chicago, Ill.",25-Sep-49,Chicago Daily Tribune (1923-1963),1949
Barkleys Find a Shangri-La At Georgia Coastal Resort,"Sea Island, Ga., Nov. 21 (AP). -- Vice President and Mrs. Alben Barkley, the Nation's favorite honeymooners, arrived at their own Shangri-La tonight.",," Washington, D.C.",22-Nov-49,The Washington Post (1923-1954),1949
Bishop Dun Will Aid in Dedication,"The Right Rev. Angus Dun, Bishop of Washington, will help dedicate Trinity Episcopal Church's $150,000 parish hall Sunday.",," Washington, D.C.",16-Sep-50,The Washington Post (1923-1954),1950
OWN APARTMENT FOR TEEN-AGER IS GOOD IDEA,,," Chicago, Ill.",17-Sep-50,Chicago Daily Tribune (1923-1963),1950
Play Articles for Little Girl Asked by Sally,"Mrs. S. of the south side was deserted by her husband when the youngest of their five children was only an infant. Now the little girl is 6 years old, and like any active youngster, longs for playthings that will keep her happy during her long hours in the open, such..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",30-Apr-51,Chicago Daily Tribune (1923-1963),1951
"Seek Sewing Machine, Bike, and Furniture","Mrs. M. of the northwest side is the widowed mother of three daughters, an 8 year old and twins, 11, one of whom is a victim of cerebral palsy and attends one of the city's special schools. The mother tries to manage on a limited income, but clothing presents..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",10-Sep-51,Chicago Daily Tribune (1923-1963),1951
Frieda Miller Asks For Equal Pay,"NEW YORK (UP). -- Frieda S. Miller, director of the Women's Bureau of the United States Department of Labor, has called for an end to the practice of paying women less than men for equal work.",," Washington, D.C.",22-Nov-51,The Washington Post (1923-1954),1951
IGLEHART IS BUILDER,,," New York, N.Y.",12-Oct-52,New York Times (1923-Current file),1952
BARNARD RECEIVES GRANT,,," New York, N.Y.",10-Apr-53,New York Times (1923-Current file),1953
SAVINGS FIRM IN DES PLAINES TO OPEN OFFICE,,," Chicago, Ill.",2-Jul-53,Chicago Daily Tribune (1923-1963),1953
Hot Biscuits and Red Raspberry Jam!,," Meade, Mary
Mary
Mary Meade
Meade
MARY MEADE"," Chicago, Ill.",26-Jul-53,Chicago Daily Tribune (1923-1963),1953
Clerk Held in Roommate's Death,,," New York, N.Y.",11-Aug-53,New York Times (1923-Current file),1953
Move to Halt Slum Growth In New York,,," Chicago, Ill.",28-Nov-53,The Chicago Defender (National edition) (1921-1967),1953
BARNARD CENTER OPENS,"The James Room, the first student social center at Barnard College, was officially opened yesterday when Mrs. Gavin MacBain, chairman of the college's development committee, presented a key to the room to Miss Sue Nagelberg, president of the Undergraduate Association. A reception followed.",," New York, N.Y.",7-Jan-54,New York Times (1923-Current file),1954
Jamaica Hotel Adds Suites,"THE MONTEGO Beach Hotel, Montego Bay, Jamaica, B.W.I., is adding to its guest accommodations 16 new suites, each consisting of two bed- rooms, bath, and large living room.",," Washington, D.C.",17-Jan-54,The Washington Post (1923-1954),1954
Apartments for Single Persons,," Farrell, Catherine
Catherine
Catherine Farrell
Farrell
CATHERINE FARRELL"," New York, N.Y.",22-Apr-54,New York Times (1923-Current file),1954
Found Dead of Gas Poisoning,,," New York, N.Y.",17-Jun-54,New York Times (1923-Current file),1954
DEDICATE NEW BETHANY HOME WING TODAY,"Methodist Bishop Charles W. Brashares will officiate today at the dedication of the $1,000,000 addition to Bethany home and hospital.",," Chicago, Ill.",31-Oct-54,Chicago Daily Tribune (1923-1963),1954
Stove Sought by Mother to Help Income,"Mrs. M., of the north side, has been advised by her physician to stop work because of a weakened condition; but she hopes to keep herself and two daughters by orders for bakery goods. However, her stove is hazardous, it has bad..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",7-Jan-55,Chicago Daily Tribune (1923-1963),1955
WESTHAMPTON CLUB GETS NEW ADDITIONS,,," New York, N.Y.",3-Apr-55,New York Times (1923-Current file),1955
Do it Yourself--: WITH CRAFT PATTERNS Get Set for Hunting WALL GUN RACK,"You will be as proud of this rack as you are of your guns. Since there is no planning to do, you can build it quickly with Pattern 654, which shows parts in full size to trace with carbon paper onto pine, birch, or maple then install a chain..."," A NEELY HALL
A NEELY HALL"," Chicago, Ill.",7-Aug-55,Chicago Daily Tribune (1923-1963),1955
New Church Already Outgrown,"Motorists who travel on Peterson av. must all note the trim but unpretentious Northwest Baptist church as they cross Francisco av. The church lawn is neatly landscaped and attractive shrubs hug close to the $250,000 brick and stone...",," Chicago, Ill.",3-Sep-55,Chicago Daily Tribune (1923-1963),1955
Family Needs Furniture,"When fire swept the B. home everything was lost and the mother suffered severe burns. Having no close ties here, the four children, ranging in age from 2 to 9 years, were taken to the country, where tempurary care was arranged for..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",26-Sep-55,Chicago Daily Tribune (1923-1963),1955
Do it yourself: WITH CRAFT PATTERNS,," A NEELY HALL
A NEELY HALL"," Chicago, Ill.",19-Aug-56,Chicago Daily Tribune (1923-1963),1956
PLAN ADDITION TO 6 YEAR OLD CHURCH EDIFICE,"Growing membership figures for Western Springs' First Methodist church has led to plans for a $235,000 addition to its present church, 43d and Howard sts., which was constructed only six years ago.",," Chicago, Ill.",7-Oct-56,Chicago Daily Tribune (1923-1963),1956
LAYMEN MOVE WEST; CHURCH RIGHT BEHIND,"When one Chicago church's congregation moved west, the church moved west too.",," Chicago, Ill.",9-Jun-57,Chicago Daily Tribune (1923-1963),1957
Do it Yourself--,," A NEELY HALL
A NEELY HALL"," Chicago, Ill.",9-Jun-57,Chicago Daily Tribune (1923-1963),1957
LOOP TO HAVE 1ST NEW HOTEL IN 2 1/2 DECADES,"Morris R. DeWoskin, Chicago operator and president of Condado Caribbean Hotels, Inc., announced yesterday he has negotiated a 40 year lease for the 40 story building under construction at 63 E. Wacker dr.",," Chicago, Ill.",27-Sep-57,Chicago Daily Tribune (1923-1963),1957
